show_id,times_watched,mood-good,mood-fun,mood-wow,mood-sad,mood-so-so,mood-bad,name,followers,runtime,network,mean_rate,poster_image
80411,1180.5,3.1666666666666665,10.666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,Not Going Out,1771,30,BBC One,3.93,https://dg31sz3gwrwan.cloudfront.net/poster/80411/190051-0-optimized.jpg
80415,262.6666666666667,4.833333333333333,0.0,1.0,0.0,1.5,0.3333333333333333,Masters of Science Fiction,639,45,ABC (US),2.1,https://dg31sz3gwrwan.cloudfront.net/poster/80415/35784-0-optimized.jpg
80426,149.1764705882353,0.058823529411764705,0.35294117647058826,1.0,0.0,0.0,0.058823529411764705,Back to You,219,25,FOX,4.8100000000000005,https://dg31sz3gwrwan.cloudfront.net/poster/80426/25397-0-optimized.jpg
80461,113.0,2.090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,K-Ville,189,45,FOX,3.5900000000000007,https://dg31sz3gwrwan.cloudfront.net/poster/80461/255881-0-optimized.jpg
80462,2115.8,87.5,1.5,8.6,0.8,6.3,2.6,Tell Me You Love Me,4291,60,HBO,2.9699999999999998,https://dg31sz3gwrwan.cloudfront.net/poster/80462/28978-0-optimized.jpg
80463,219.625,0.125,0.75,0.0,0.0,0.375,0.0,Carpoolers,293,25,ABC (US),4.44,https://dg31sz3gwrwan.cloudfront.net/poster/80463/1039353-0-optimized.jpg
80481,1629.75,50.875,1.75,4.875,0.5,2.875,0.625,New Amsterdam,3311,60,FOX,3.5500000000000003,https://dg31sz3gwrwan.cloudfront.net/poster/80481/29006-0-optimized.jpg
80494,2613.923076923077,34.61538461538461,0.23076923076923078,5.923076923076923,0.46153846153846156,0.7692307692307693,0.07692307692307693,Journeyman,3951,45,NBC,4.019999999999998,https://dg31sz3gwrwan.cloudfront.net/poster/80494/27190-0-optimized.jpg
80512,30692.3125,298.0,2.5,68.5,3.0625,4.5,1.5,Moonlight,45298,45,CBS,4.21,https://dg31sz3gwrwan.cloudfront.net/poster/80512/1030354-0-optimized.jpg
80522,303.1,2.6,0.3,0.9,0.2,0.7,0.0,Who Do You Think You Are? (UK),961,60,BBC One,3.94,https://dg31sz3gwrwan.cloudfront.net/poster/80522/67801-0-optimized.jpg
80542,140054.55555555556,2140.5555555555557,106.0,277.0,40.44444444444444,30.88888888888889,5.444444444444445,Private Practice,214641,45,ABC (US),4.29,https://dg31sz3gwrwan.cloudfront.net/poster/80542/884011-0-optimized.jpg
80552,12172.40909090909,119.18181818181819,6.681818181818182,20.772727272727273,0.8181818181818182,2.8636363636363638,0.2727272727272727,Kitchen Nightmares (US),22689,60,FOX,3.8799999999999994,https://dg31sz3gwrwan.cloudfront.net/poster/80552/36007-0-optimized.jpg
80570,325.27272727272725,7.7272727272727275,0.2727272727272727,2.0,0.18181818181818182,0.09090909090909091,0.0,Big Shots,495,45,ABC (US),4.340000000000001,https://dg31sz3gwrwan.cloudfront.net/poster/80570/25412-0-optimized.jpg
80580,139.3846153846154,1.2307692307692308,0.0,0.23076923076923078,0.0,0.07692307692307693,0.0,Kid Nation,180,45,CBS,3.6300000000000003,https://dg31sz3gwrwan.cloudfront.net/poster/80580/29086-0-optimized.jpg
80592,2337.0,26.666666666666668,18.833333333333332,2.5,0.16666666666666666,0.0,0.16666666666666666,Outnumbered,3579,30,BBC One,4.04,https://dg31sz3gwrwan.cloudfront.net/poster/80592/916103-0-optimized.jpg
80593,29311.0,139.1,10.9,28.0,1.2,4.1,1.8,Dirty Sexy Money,43096,45,ABC (US),4.079999999999999,https://dg31sz3gwrwan.cloudfront.net/poster/80593/25481-0-optimized.jpg
80649,2261.923076923077,71.92307692307692,2.4615384615384617,14.615384615384615,0.38461538461538464,0.9230769230769231,0.15384615384615385,Women's Murder Club,3800,45,ABC (US),4.329999999999999,https://dg31sz3gwrwan.cloudfront.net/poster/80649/1232572-0-optimized.jpg
80660,4003.1052631578946,5.631578947368421,8.052631578947368,0.15789473684210525,0.05263157894736842,1.105263157894737,-0.10526315789473684,The Graham Norton Show,8313,50,BBC One,3.7599999999999993,https://dg31sz3gwrwan.cloudfront.net/poster/80660/1171287-0-optimized.jpg
80680,11636.733333333334,59.266666666666666,22.266666666666666,5.866666666666666,0.2,0.6,0.13333333333333333,Samantha Who?,17287,25,ABC (US),3.939999999999999,https://dg31sz3gwrwan.cloudfront.net/poster/80680/26574-0-optimized.jpg
80726,222386.09523809524,706.2380952380952,256.85714285714283,98.23809523809524,2.761904761904762,6.0,2.380952380952381,Wizards of Waverly Place,250414,25,Disney Channel,4.13,https://dg31sz3gwrwan.cloudfront.net/poster/80726/1367570-0-optimized.jpg
80845,194.84615384615384,2.6923076923076925,0.038461538461538464,1.0769230769230769,0.0,0.0,0.0,Storm Hawks,379,25,Cartoon Network,4.769999999999997,https://dg31sz3gwrwan.cloudfront.net/poster/80845/143691-0-optimized.jpg
